username,age,occupation,status,gender,filtered sentence,y,translated_occupation
sandralee,19,student,single,female,Im really chill person looking someone chill Im somehow introverted itll really great I found somebody like,0,student
dayana16,19,estudiante,single,female,white Bisexual Other nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,student
Denn_,19,Estudiante,single,female,hispanic Bisexual Atheist nonsmoker never Fun Friendship,0,Student
Gabrielita,19,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Serious Relationship,0,Student
Luisa5401,19,Estudiante,single,female,hispanic Straight Other nonsmoker never Fun Friendship,0,Student
Melisalopez,19,Estudiante,single,female,mixed Straight Christian nonsmoker occasional drinker Friendship Romance Serious Relationship Marriage,0,Student
Singlelove14,19,Student,single,female,middle eastern Straight Other nonsmoker never Fun Romance Serious Relationship,0,Student
STEFI,19,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,Student
MysticBlue,20,Student,single,female,I like wolves anime drawing Any questions Pls ask,0,Student
A2002,20,Estudio,single,female,hispanic Bisexual Christian nonsmoker social drinker Romance Serious Relationship,0,Study
Aliix,20,Estudiante,single,female,white Straight Other nonsmoker never Serious Relationship,0,Student
Amelia12,20,Estudio,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,Study
Anagaby28,20,Gerente,single,female,hispanic Straight Other nonsmoker occasional drinker Fun Friendship,0,Manager
Brenda12,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship Romance,0,Student
candeeeeeeeeeeeee,20,estudiante,single,female,hispanic Bisexual Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,student
Cristina_Barrera,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,Student
Evalau,20,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,Student
Fernandaaa,20,Estudiante,single,female,mixed Straight Christian nonsmoker never Fun Friendship Romance,0,Student
nairlyn,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Fun Friendship,0,Student
NaJesus,20,Estudiante,single,female,white Bisexual Atheist nonsmoker social drinker Friendship,0,Student
Nayelis,20,Estudiante de Derecho,single,female,white Straight Other nonsmoker never Friendship Serious Relationship,0,Law student
Sky121,20,Student,single,female,black Bisexual Spiritual nonsmoker social drinker Fun Friendship Romance,0,Student
jereo_cheerio08,21,Unemployed,single,male,A kind Hearted man loves music artwork And Religious,0,Unemployed
Abigail29,21,Estudiante,single,female,hispanic Straight Other nonsmoker never Romance Serious Relationship,0,Student
ana_mel,21,student,single,female,black Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,student
Aseza27,21,Educator,single,female,mixed Straight Christian nonsmoker never Serious Relationship,0,Educator
Beatriz9801,21,Estudiante,single,female,white Straight Other nonsmoker never Friendship Romance Serious Relationship Marriage,0,Student
DaneMM,21,ESTUDIO,single,female,hispanic Straight Other nonsmoker never Friendship Romance,0,STUDY
DanielaJquez,21,Camarera,single,female,hispanic Straight Other social smoker occasional drinker Serious Relationship,0,Waitress
Dylan_09,21,Estudiante,single,female,hispanic Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship,0,Student
Gstunna,21,Student,single,male,mixed Straight Christian light smoker occasional drinker Friendship Romance Serious Relationship,0,Student
Jenral,21,Manicurista,in relationship,female,hispanic Straight Spiritual nonsmoker social drinker Friendship,0,Manicurist
Karen29,21,Estudiante,single,female,black Straight Other nonsmoker occasional drinker Serious Relationship,0,Student
Lesly223,21,Universitaria,single,female,hispanic Straight Christian nonsmoker never Friendship Serious Relationship,0,university
Leydi897,21,Niñera,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship,0,Baby sister
Madela,21,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,Student
Mimi9800,21,Student,single,female,asian Straight Hindu nonsmoker never Friendship Romance Serious Relationship,0,Student
Nela,21,Estudiante,single,female,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,Student
Nicole5,21,Estudios,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,Studies
Thaireliz,21,Estudiante,single,female,mixed Straight Other nonsmoker never Friendship Marriage,0,Student
