,Unnamed: 0,username,age,occupation,status,gender,filtered sentence,y,translated_occupation,translated_occupation_lem,translated_occupation_category
0,0,sandralee,19,student,single,female,Im really chill person looking someone chill Im somehow introverted itll really great I found somebody like,0,student,student,student
1,1,dayana16,19,estudiante,single,female,white Bisexual Other nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,student,student,student
2,2,Denn_,19,Estudiante,single,female,hispanic Bisexual Atheist nonsmoker never Fun Friendship,0,student,student,student
3,3,Gabrielita,19,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Serious Relationship,0,student,student,student
4,4,Luisa5401,19,Estudiante,single,female,hispanic Straight Other nonsmoker never Fun Friendship,0,student,student,student
5,5,Melisalopez,19,Estudiante,single,female,mixed Straight Christian nonsmoker occasional drinker Friendship Romance Serious Relationship Marriage,0,student,student,student
6,6,Singlelove14,19,Student,single,female,middle eastern Straight Other nonsmoker never Fun Romance Serious Relationship,0,student,student,student
7,7,STEFI,19,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,student,student,student
8,8,MysticBlue,20,Student,single,female,I like wolves anime drawing Any questions Pls ask,0,student,student,student
9,9,A2002,20,Estudio,single,female,hispanic Bisexual Christian nonsmoker social drinker Romance Serious Relationship,0,study,study,student
10,10,Aliix,20,Estudiante,single,female,white Straight Other nonsmoker never Serious Relationship,0,student,student,student
11,11,Amelia12,20,Estudio,single,female,hispanic Straight Christian nonsmoker never Serious Relationship,0,study,study,student
12,12,Anagaby28,20,Gerente,single,female,hispanic Straight Other nonsmoker occasional drinker Fun Friendship,0,manager,manager,office
13,13,Brenda12,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship Romance,0,student,student,student
14,14,candeeeeeeeeeeeee,20,estudiante,single,female,hispanic Bisexual Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,student,student,student
15,15,Cristina_Barrera,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,student,student,student
16,16,Evalau,20,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,student,student,student
17,17,Fernandaaa,20,Estudiante,single,female,mixed Straight Christian nonsmoker never Fun Friendship Romance,0,student,student,student
18,18,nairlyn,20,Estudiante,single,female,hispanic Straight Other nonsmoker never Fun Friendship,0,student,student,student
19,19,NaJesus,20,Estudiante,single,female,white Bisexual Atheist nonsmoker social drinker Friendship,0,student,student,student
20,20,Nayelis,20,Estudiante de Derecho,single,female,white Straight Other nonsmoker never Friendship Serious Relationship,0,law student,law student,student
21,21,Sky121,20,Student,single,female,black Bisexual Spiritual nonsmoker social drinker Fun Friendship Romance,0,student,student,student
22,22,jereo_cheerio08,21,Unemployed,single,male,A kind Hearted man loves music artwork And Religious,0,unemployed,unemployed,unemployed
23,23,Abigail29,21,Estudiante,single,female,hispanic Straight Other nonsmoker never Romance Serious Relationship,0,student,student,student
24,24,ana_mel,21,student,single,female,black Straight Christian nonsmoker never Friendship Romance Serious Relationship Marriage,0,student,student,student
25,25,Aseza27,21,Educator,single,female,mixed Straight Christian nonsmoker never Serious Relationship,0,educator,educator,education
26,26,Beatriz9801,21,Estudiante,single,female,white Straight Other nonsmoker never Friendship Romance Serious Relationship Marriage,0,student,student,student
27,27,DaneMM,21,ESTUDIO,single,female,hispanic Straight Other nonsmoker never Friendship Romance,0,study,study,student
28,28,DanielaJquez,21,Camarera,single,female,hispanic Straight Other social smoker occasional drinker Serious Relationship,0,waitress,waitress,service
29,29,Dylan_09,21,Estudiante,single,female,hispanic Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship,0,student,student,student
30,30,Gstunna,21,Student,single,male,mixed Straight Christian light smoker occasional drinker Friendship Romance Serious Relationship,0,student,student,student
31,31,Jenral,21,Manicurista,in relationship,female,hispanic Straight Spiritual nonsmoker social drinker Friendship,0,manicurist,manicurist,service
32,32,Karen29,21,Estudiante,single,female,black Straight Other nonsmoker occasional drinker Serious Relationship,0,student,student,student
33,33,Lesly223,21,Universitaria,single,female,hispanic Straight Christian nonsmoker never Friendship Serious Relationship,0,university,university,education
34,34,Leydi897,21,Niñera,single,female,hispanic Straight Christian nonsmoker never Friendship Romance Serious Relationship,0,baby sister,baby sister,service
35,35,Madela,21,Estudiante,single,female,hispanic Straight Other nonsmoker never Friendship,0,student,student,student
36,36,Mimi9800,21,Student,single,female,asian Straight Hindu nonsmoker never Friendship Romance Serious Relationship,0,student,student,student
37,37,Nela,21,Estudiante,single,female,hispanic Straight Other nonsmoker social drinker Serious Relationship,0,student,student,student
38,38,Nicole5,21,Estudios,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,studies,study,student
39,39,Thaireliz,21,Estudiante,single,female,mixed Straight Other nonsmoker never Friendship Marriage,0,student,student,student
40,40,Vianey,21,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship Romance Serious Relationship,0,student,student,student
41,41,Villa2345,21,Independiente,single,female,white Bisexual Christian nonsmoker occasional drinker Serious Relationship,0,independent,independent,self employed
42,42,wasssiiimaaa,21,Estudiante,single,female,white Straight Muslim nonsmoker never Friendship Serious Relationship Marriage,0,student,student,student
43,43,Yennynavarijo,21,Estudiar,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,to study,to study,student
44,44,Nastya404,22,Manager,single,female,Hello Im Ukraine I came parents I running away war I want fun looking friend,0,manager,manager,office
45,45,amaliadiazz,22,secretaria,single,female,white Straight Other social smoker occasional drinker Romance,0,secretary,secretary,office
46,46,Antonio12,22,Plomero,single,male,hispanic Straight Christian nonsmoker occasional drinker Friendship,0,plumber,plumber,service
47,47,Ashlyy,22,Student,single,female,black Straight Christian nonsmoker never Fun Friendship Romance Serious Relationship,0,student,student,student
48,48,Bella0712,22,Estudiar,single,female,black Straight Christian nonsmoker occasional drinker Serious Relationship,0,to study,to study,student
49,49,Camisol,22,Contador,divorced,female,hispanic Straight Christian nonsmoker occasional drinker Serious Relationship,0,contador,contador,
50,50,Danuska95,22,Estudiante,single,female,hispanic Bisexual Christian nonsmoker never Friendship,0,student,student,student
51,51,Dcooper334,22,Salesman,single,male,white Straight Christian nonsmoker never Serious Relationship Marriage,0,salesman,salesman,sales
52,52,Eimy,22,Emprendedora,single,female,hispanic Straight Christian nonsmoker never Romance Serious Relationship Marriage,0,enterprising,enterprising,self employed
53,53,Ericka21,22,Estudiante,single,female,mixed Straight Christian nonsmoker never Fun Friendship,0,student,student,student
54,54,Fab,22,Estudiante,single,female,white Straight Other nonsmoker occasional drinker Serious Relationship,0,student,student,student
55,55,FANNYCONTRERAS7,22,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,student,student,student
56,56,Fanyv,22,Estudiante,single,female,hispanic Straight Christian nonsmoker occasional drinker Fun Friendship,0,student,student,student
57,57,Helmelg21,22,Estudiando,single,female,hispanic Straight Other nonsmoker never Serious Relationship Marriage,0,studying,studying,student
58,58,Jon2511,22,Trabajo,married,male,native american Bisexual Other nonsmoker never Friendship,0,worked,worked,
59,59,Kairobi,22,Estudiante,single,female,mixed Bisexual Atheist nonsmoker occasional drinker Friendship Romance,0,student,student,student
60,60,Kaylyn,22,Estudiante,single,female,hispanic Straight Christian nonsmoker never Friendship,0,student,student,student
61,61,Keirihisldb,22,Estudio,single,female,white Bisexual Other nonsmoker never Fun Friendship Romance,0,study,study,student
62,62,Laura18,22,Enfermera,single,female,hispanic Straight Other nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,nurse,nurse,medical
63,63,Mariafernanada,22,Estudio,single,female,hispanic Straight Other nonsmoker never Serious Relationship,0,study,study,student
64,64,Mariana1833,22,Estudio,single,female,hispanic Straight Atheist nonsmoker never Fun,0,study,study,student
65,65,Meli3214,22,Estudiar,single,female,white Straight Other nonsmoker never Serious Relationship,0,to study,to study,student
66,66,Melyperez27,22,Estudiante,single,female,hispanic Straight Christian nonsmoker social drinker Marriage,0,student,student,student
67,67,Monique2550,22,Estudiante,single,female,hispanic Straight Other nonsmoker social drinker Friendship Romance Serious Relationship Marriage,0,student,student,student
68,68,Nich1043,22,Clerk,single,male,white Straight Christian nonsmoker never Fun Romance Serious Relationship,0,clerk,clerk,office
69,69,oria,22,Estudiante,single,female,hispanic Straight Spiritual nonsmoker never Friendship Romance Serious Relationship,0,student,student,student
70,70,valentinamaya123,22,Estudiante,in relationship,female,white Straight Christian nonsmoker never Friendship,0,student,student,student
71,71,Andrea8ne,23,Waitress,single,female,Looking female friend Dún Laoghaire near,0,waitress,waitress,service
72,72,Gussi_98,23,Estudiante universitario,single,male,Hello name Gustavo im Monterrey Nuevo Leon im 22 years hobbies Soccer Play Bass Guitar Piano Sing Chess Pool Bowling like quiets ambients know english want relashionship Soy Gustavo soy de Monterrey Nuevo Leon tengo 22 años mis hobbys son el Futbol tocar la guitarra el bajo el piano cantar ajedrez boliche los ambientes tranquilos se poco ingles busco una relacion estable,0,college student,college student,student
73,73,Mike166,23,Construction,single,male,Im Mike Finland im going Be Sweden weeks im looking fun maybe Make new friends I dont smoke drink sports every Day,0,construction,construction,construction
74,74,sabdulwahid99,23,student,single,male,I 21 years old want find girl willing long distance relationship An communicate though instagram,0,student,student,student
75,75,schrodingersbunny,23,Student,single,female,Currently studying neuroscience masters I huge nerd fangirl love science learning discussion debates Currently trying learn drums salsa plus points teach Looking someone I great friends hopefully academia p share something special fun,0,student,student,student
76,76,Tatiana98,23,Student,single,female,Trans,0,student,student,student
77,77,UkrainianGirl22,23,Baker,single,female,Im YouTuber Gamer Artist,0,baker,baker,service
78,78,abdix3,23,Self Employed,single,male,black Straight Other nonsmoker never Fun Friendship Romance Serious Relationship Marriage,0,self employed,self employed,self employed
79,79,Afam,23,Ama de casa,single,female,mixed Straight Other nonsmoker social drinker Romance Serious Relationship,0,housewife,housewife,
80,80,Andreina19,23,Comerciante,single,female,white Straight Other nonsmoker occasional drinker Romance,0,merchant,merchant,
81,81,Blair18,23,maestra,single,female,hispanic Bisexual Spiritual nonsmoker occasional drinker Friendship,0,teacher,teacher,education
82,82,Bsztm,23,Ingeniero,single,male,hispanic Straight Other social smoker social drinker Romance Serious Relationship Marriage,0,engineer,engineer,engineer
83,83,Camilaura12,23,Estudiante,single,female,hispanic Straight Spiritual nonsmoker social drinker Fun Friendship Romance Serious Relationship Marriage,0,student,student,student
84,84,Carmenpion20,23,Administradora de empresas,single,female,hispanic Straight Other nonsmoker occasional drinker Friendship Romance Serious Relationship,0,business administrator,business administrator,
85,85,Cora258,23,Teacher,single,female,mixed Straight Christian social smoker social drinker Romance,0,teacher,teacher,education
