username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation,status_lem,translated_occupation_lem,translated_occupation_category
123canwe,66.0,Retired,single,male,I full fire friskier hell,tr,0,retired,single,retired,retired
123WILFREDO,28.0,ESTUDIANTE,single,male,ME GUSTA CONOCER CHICAS BONDADOSAS CARIÑOSAS Y MUY FUERTES EN LA MORAL,es,0,student,single,student,education
1907,48.0,Construction,single,male,laid back earth good sense humor,en,0,construction,single,construction,construction
52Jim52,70.0,Retired,divorced,male,Retired owner aerospace consuloting firm,da,0,retired,divorced,retired,retired
Aaron90,28.0,Social worker,single,male,Hello aaron Vermont I vermont 2 years Im really fun person I like camping bone fire etc,en,0,social worker,single,social worker,office
abdelghani,71.0,retired,divorced,male,problem free flexibleseek love happiness,da,0,retired,divorced,retired,retired
Abdul99,54.0,Executive,separated,male,Easy going Highly educated Life beautiful Travels,ro,0,executive,separated,executive,manager
abdulrahmanwaly,33.0,journalist,single,male,name Abdulrahman person ethics religion work field journalism live Cairo,fr,0,journalist,single,journalist,media
Abou,33.0,Designer,single,male,I serious honest trustworthy like share love fan culture new different person,da,0,designer,single,designer,art
Accydave,73.0,Retired,divorced,male,My name David Im 71 years old divorced retired 3 grownup children son 2 daughters,tr,0,retired,divorced,retired,retired
Adri29,33.0,Chef,single,male,I loving friendly person I always respect personality person,cy,0,chef,single,chef,service
Adrianmorry,43.0,Entrepreneur,single,male,Im caringsweet adorable enjoy indoor outdoor activities Digital Entrepreneur love help motivate people work achieve goals dream reality selfemployed Digital marking entrepreneur almost 10 years wish find someone sweet caring share much love heart,fr,0,entrepreneur,single,entrepreneur,self employed
AfrikanQueen,27.0,Student,single,female,Nothing short fun Kindest Ambitious Goal driven Food wine make happy,de,0,student,single,student,education
Afspecial68,75.0,Retired,single,male,Honest trustworthy passionate caring earth drugs,en,0,retired,single,retired,retired
Aftershock,68.0,Medical,divorced,female,I happy caring person life simple thankful everyday,es,0,medical,divorced,medical,medical
Agatha123,26.0,Sales,single,female,Hi im moving tirana nextmonth,fr,0,sales,single,sale,office
