username,age,occupation,status,gender,filtered sentence,Language,y,translated_occupation
123canwe,66,Retired,single,male,I full fire friskier hell,tr,0,Retired
123WILFREDO,28,ESTUDIANTE,single,male,ME GUSTA CONOCER CHICAS BONDADOSAS CARIÑOSAS Y MUY FUERTES EN LA MORAL,es,0,STUDENT
1907,48,Construction,single,male,laid back earth good sense humor,en,0,Construction
52Jim52,70,Retired,divorced,male,Retired owner aerospace consuloting firm,da,0,Retired
Aaron90,28,Social worker,single,male,Hello aaron Vermont I vermont 2 years Im really fun person I like camping bone fire etc,en,0,Social worker
abdelghani,71,retired,divorced,male,problem free flexibleseek love happiness,da,0,retired
Abdul99,54,Executive,separated,male,Easy going Highly educated Life beautiful Travels,ro,0,Executive
abdulrahmanwaly,33,journalist,single,male,name Abdulrahman person ethics religion work field journalism live Cairo,fr,0,journalist
Abou,33,Designer,single,male,I serious honest trustworthy like share love fan culture new different person,da,0,Designer
Accydave,73,Retired,divorced,male,My name David Im 71 years old divorced retired 3 grownup children son 2 daughters,tr,0,Retired
Adri29,33,Chef,single,male,I loving friendly person I always respect personality person,cy,0,Chef
Adrianmorry,43,Entrepreneur,single,male,Im caringsweet adorable enjoy indoor outdoor activities Digital Entrepreneur love help motivate people work achieve goals dream reality selfemployed Digital marking entrepreneur almost 10 years wish find someone sweet caring share much love heart,fr,0,Entrepreneur
AfrikanQueen,27,Student,single,female,Nothing short fun Kindest Ambitious Goal driven Food wine make happy,de,0,Student
Afspecial68,75,Retired,single,male,Honest trustworthy passionate caring earth drugs,en,0,Retired
Aftershock,68,Medical,divorced,female,I happy caring person life simple thankful everyday,es,0,Medical
Agatha123,26,Sales,single,female,Hi im moving tirana nextmonth,fr,0,Sales
Ahin,42,Service,single,male,I friendly practical understandable,en,0,Service
Airik,44,Author,widowed,male,Im fortyfouryearold widower four years ready give love another try I natural healer writer I like read go walks watch movies generally hang significant Im meeting new people trying new things new experiences hope Send message lets see connect,en,0,Author
alaaeldin,51,Engineer,separated,male,Egyptian Engineer working Georgia live Tbilisi like musicmoviessportsgoing outtravelling,af,0,Engineer
alamana57,65,retired,widowed,female,I Animal Nature lover active hyking swimming cross country skiing,da,0,retired
alex2701,30,Teacher,single,male,Im positive person loves life family friends I like go walks exercise cooking playing guitar piano,de,0,Teacher
Alexander2,33,Care worker,single,male,I kind sincere young man love going good conversation funny cant make everyone laugh even hardest situations much,en,0,Care worker
Alexmmar,35,Cobranza,single,male,I super cheerful tender loving sentimental hardworking responsible person goals life I like travel know places people,es,0,Collection
AlexNeyra,46,Chofer,single,male,I easygoing funny I love pets music singing travelling nature walking beach looking someone special,en,0,Chofer
Alexxa,42,Lawyer,single,female,Im attractive charming honest great sense humor educated wellmannered,cy,0,Lawyer
Alex_xander11,61,Engineer,widowed,male,Im Alexander Holland live curitiba Brazil,af,0,Engineer
alh07061986,36,Disabled,divorced,female,Im nice person Funny great around Im Catholic I believe god family,tl,0,Disabled
alphamsesay,35,IT Technician,separated,male,Tall black strong well built good looking physical athletic structure looking friendly relationship lead serious relationship marriage sierra leonean nationality currently based South Africa Durban,en,0,IT Technician
Altrione,32,Self employed,single,male,Im earth guy loving caring smart intelligent soft hearted much peoples person I love kids,en,0,Self employed
Amourous13,55,Retired,divorced,male,I Singaporean Chinese looking soulmate companion spend quality time together engaged mutually enjoyable beneficial physical activities,en,0,Retired
AnaMaria6,68,retired,widowed,female,I like read travel meet new people I cheerful nature sometimes I deliberately stupid things,da,0,retired
anatolia,58,Retired,divorced,male,Just man planet Well educated honest loving life,tr,0,Retired
Andrea8ne,23,Waitress,single,female,Looking female friend Dún Laoghaire near,fr,0,Waitress
andreortiz,27,estudiante,single,female,hello guys Im andrea Im 22 years old Im psychology student Im loving romantic passionate person I like meet many people know tastes culture maybe find love I respect value people I like persistent achieve desires hola chicos soy andrea tengo 22 años soy estudiante de psicologíasoy una persona cariñosa romántica apasionada gusta conocer muchas personas saber de sus gustos cultura tal vez encuentre el amor respeto valoro las persona que hacen lo mismo por mi gusta ser perseverante lograr mis anhelos,es,0,student
andrewboss963,30,Teacher,single,male,I love know new people places ang things I love english music,de,0,Teacher
Andy213432,29,Manager,single,male,Love around people going,tl,0,Manager
Ang15,62,Retired,widowed,female,I widower lost husband 15 months ago Trying move easy I two grown children place So I live bungalow cats,en,0,Retired
Angus,53,Agricultural Contractor,single,male,Country boy looking good mate see happens,ro,0,Agricultural Contractor
Anibal_27,31,Arquitecto,single,male,SOY UNA PERSONA QUE ESCRIBE Y REFLEXIONA,ca,0,Architect
Anjier,39,PhD student,divorced,female,I looking man serious transform life happiness love respect peace grow together,nl,0,PhD student
Anna2277,31,manager,single,female,friendly smart girl I like read walk fresh air,tl,0,manager
Annanna,33,Marketing,single,female,Love music 70s 80s 90s Love read books,id,0,Marketing
Annha,37,Telecomunicaciones,single,female,Authentic altruistic,es,0,telecommunications
Anniepears,44,health,separated,female,I dreamer romantic fun home buddy like sit home go walk read book cook listen stories send photo later,en,0,health
Annyabg4,32,Engineer,single,female,Anime horror suspense movies funny cute,af,0,Engineer
anowar35,44,selfemployed,separated,male,I one simple person also make friendship good people,en,0,selfemployed
Apachechieftoday7,55,Self employed,single,male,Kindhearted honest lovable,en,0,Self employed
Apb1974,47,Tech,divorced,male,I single Dad I raised two daughters I never would want daughters disrespected As I endeavor type man The respect I demand daughters suitors I demand ladies,de,0,Tech
April79,42,Sales,divorced,female,I first Christian mom 2 grown girls I 3 grandkids Photography passion,es,0,Sales
Archer73,82,Retired,divorced,male,I divorced since 1994 I never thought I would grow old alone Most people think I early 60s I think like 40 year old,tr,0,Retired
Arkangel65,57,Handyman,widowed,male,Im 55 former Marine Widowed 3 years 28 years marriage,cy,0,Handyman
arnab,55,engineer,married,male,professor love travelling reading,nl,0,engineer
arrivedagain,62,Civil Engineer,divorced,male,Raised children single parent Now children adults would like another child family I believe God plan us I know He doesnt want us lonely Im looking someone kind heart appreciate love I work hard dont believe woman work Maybe im old fashion I think Man provide Family,en,0,Civil Engineer
Artvazmat12,39,Management,single,male,Hi Im looking long lasting friendships And Im open relationship Please feel free contact I speak English Spanish,nl,0,Management
Arunhere,43,Business,separated,male,I generous calm person,de,0,Business
ash21moberly,32,nurse,single,female,Hello guys Im Ashley moberly mo Im 21 years old single Im nursing student Im love fun,ro,0,nurse
ashley23mob,32,nurse,single,female,Hello guys Im Ashley single college student Missouri I outgoing I love fun spend time guy,ro,0,nurse
Astrid09,25,Journalist,single,female,Hey Just looking friends dance every day,en,0,Journalist
athenais,49,educator,widowed,female,Hello sincere gentlemen world I beautiful sensual yet classy playful I lived loved I experienced great joy great sorrow Although widow define I learn past love great faithfulness I proud mother adult daughter love family I gift instruction I teach profession My hobbies varied fulfilling ranging preparing fine dishes eat embroidering creative designs Travel one favorite activities something I wish I live healthy lifestyle absolutely zero addictions I strictly one man kind womanfaithful loyal amd honest fault I try see best people easily fo I seek man understands words monogamy loyalty faithfulness honesty respect A man also raised family best man embraces healthy lifestyle addictions He must love explore travel one hobbies heslthy keeps body top form I Above seeks true lasting longterm relationship hopefully lasts lifetime I NOT seek pen friend text buddy sexting partner Immaturity attractive Let us build wonderful friendship goes right loving exciting life together,ro,0,educator
ATLdude,43,Engineering,separated,male,try meet new people order break loneliness issue,af,0,Engineering
atplcpl,51,airline pilot,divorced,male,I man living alone 170 cm 80 kg non smoker well educated clean organised,fi,0,airline pilot
Aura4,66,Artist,divorced,female,I woman born México Like freedom honesty creativity truth alternative music cinema love laugh walk nature travel I designer artist I travel York daughter giving bird would like meet nice man,de,0,Artist
Av8or59,59,Retired,divorced,male,Returning Colorado seeking fun abs adventurousness partner,tr,0,Retired
axelgutez,43,Ingeniero de sistemas,single,male,Im looking good woman intention serius relationship I would like children,de,0,Systems Engineer
Babydoll40,39,Disabled,divorced,female,Ball fun big hearted,no,0,Disabled
Banawent,41,Operations Manager,divorced,male,I divorced father I cant say I love kids enough Theyre one greatest joys world I also huge family person I consider artsy person photography huge passion I love outdoors fishing hiking I love travel My favorite places go New York Colorado I traveled outside states would love go back I like movies theater I also okay relaxing home bag popcorn fireplace,en,0,Operations Manager
Baptist_63,58,Journalist,divorced,male,I God fearing man loves God affectionate respectful thoughtful romantic homey,en,0,Journalist
Barbiebunch1962,59,Disabled,divorced,female,I 56 year old Latina looking Latino male interested games I serious I way old play games I looking someone wants love Im ready let love Inn thats think enrich life make happy I certainly best make happy I would love hear,tl,0,Disabled
barney,63,retired,single,male,single retired looking someone live,da,0,retired
Bassclef,50,Musician,divorced,male,I writer composer orchestral music jazz also musician bassist,ca,0,Musician
Bassman87,35,Factory Worker,single,male,Just got serious relationship Looking get back I like heavy metal anime women loke kids dogs lol,en,0,Factory Worker
Batman,43,Executive,divorced,male,Travel lot like adventures activities love animals,ro,0,Executive
BayouBengal20,45,Retired,single,male,Outgoing guy I love travel,tr,0,Retired
BBCadventour,38,Doctor,widowed,male,Years ago I meet wife online till passing years ago After I took time Im finally going give another try So I figured try POF maybe Ill get lucky Hopefully Ill find someone I connect inside outside bedroom Im open minded hopefully Ill meet someone like Like care bears said Sharing Caring Now may little much woman send message anyways You never know might happen,es,0,Doctor
BeeFarm,59,Higher Education,divorced,female,I energetic person enjoys farming lifestyle I like keep things simple enjoy simple things life Im traveling I adventures checking local landscape literally,en,0,Higher Education
Belen2022,47,Teacher,divorced,female,Just days Malta would love meet nice man,de,0,Teacher
Belmont,42,Ingeniero,single,male,I always speak truth sincerity heart following product destiny magic envelop us Im romantic loving men I looking special sincere woman wants share mutual magical love without limits conditions distances I fall love let loved every day together face future,af,0,Engineer
Ben64116,43,Restaurant,single,male,Im single guy likes lots things fun Anything want know ask Im looking women Kansas City area talk get know meet person,ca,0,Restaurant
benjden,65,retired,single,male,3rd Party Descriptive Analysis Personality Report Ben strong need belong organizations groups chooses lucky attract thoughtful hardworking devoted individual Ben focuses energy problems issues moment painstakingly accurate working facts attentive details methodical applying qualities working Ben likes gatherings analyzing applying data useful purpose documenting results Quiet reserved Ben loyal devoted friend coworker takes responsibilities toward others seriously Sensitive sympathetic Ben good listener eager help people real practical ways Ben best drawing personal experiences also good people small groups oneonone situations patience genuinely sympathetic approach dealing people Ben makes pleasant reliable coworker exemplary employee tends harried uncomfortable supervisory roles Love Relationships Ben close friends extremely loyal ready provide emotional practical support moments notice The older friendship Ben value Ben devoted partners friends family usually excellent homemaker His home likely well kept inside Interior exterior meticulously maintained appointed traditional manner Ben apt find putting airs offensive tends prefer modest quiet friends rather boisterous ones As security seeking temperament Ben practical frugal type shares certain core values among belief strong work ethic need people institutions responsible importance following rules serving ones community Introversion While Ben may antisocial need private time space retreat world Unlike extroverts much socializing may zap energies derived exploring inner world ideas impressions pure thought Sensing Ben usually gathers information senses see hear taste touch smell physical world Ben concentrates energies actually exists ponder might exist much He usually practical relies common sense guide world Feeling Ben makes decisions subjectively based upon values important How people affected decisions important He likely make decisions based upon feels acceptable agreeable rather logical His truths founded values society lives Judgement He likes decisions made soon possible comfortable loose ends like see conflicts resolved soon possible preference wellstructured orderly lifestyle surprises Ben takes commitments seriously While inflexible like stick plan set motion I employed analysts 3rd Party Vivid Analysis Personality Report little space provide assessment So interested please contact balance section,da,0,retired
benjden00,65,retired,single,male,Nanaimo resident seeking 35 55 blond fit potential longterm relationship,da,0,retired
Benji26,29,Restaurant,single,male,I looking serious relationship I enjoy movies disc golf video games concerts,ca,0,Restaurant
Bentley00788,59,Entrepreneur,single,male,French american living Los angeles 30 yearsfun love travelenjoy beauty,fr,0,Entrepreneur
Berktree79,42,Electrician,single,male,Trying something new I clean start fresh start Focus happy finding I lot Ready real friend A real partner Someone back I big heart lot love give Made mistakes I learned,es,0,Electrician
Better777,52,Gobierno,divorced,male,Im easygoing considerate loving happy hardworking humble friendly earth guy I would like meet lady similar traits I like exercising eating healthy dining movies watching tv shows parks museums traveling watching sports spending time familyfriends Soy un hombre tranquilo sin hijos agradable amoroso feliz considerado trabajador detallista serio que sabe lo que quiere al cual le gustaria conocer una mujer igual Soy delgado gusta hacer ejercicios 3 4 veces por semana comer saludable salir comer al cine ver programas de TV ir parques museos viajar ver deportes compartir con familia amistades,pl,0,Government
Bgoat2,54,Disabled,single,male,Like lot things lately Ive working firearms Dam I hate part,tl,0,Disabled
Bgsbny,57,retired,single,male,Im single n wish find female marriage Baltic states promise shall come meet soon healthy VISA n come id delighted welcome capital USA,da,0,retired
Bgulley,25,Manager,single,female,Im 22 Ive always interested Russian men I want relocate,tl,0,Manager
BigDawg757,38,Carpenter,single,male,Strongfunnyfast learnergreat kids,nl,0,Carpenter
bigdee1234dw,24,Unemployed,single,male,Im signal mountain looking nice girl chat,en,0,Unemployed
bigsweetiepie,64,retired,widowed,male,im easy going lay back kind guy,da,0,retired
biri56,58,Retire,divorced,male,Honest loving mature man loving life love beach walks cooking internal site seing travel,ro,0,Retire
Blaine6969,51,Manager,divorced,male,Single dad looking relationship Work 4 times week,tl,0,Manager
blakelake2017,37,Construction,in relationship,male,Just looking fun frisky gal make memories Nothing super serious unless click get,en,0,Construction
Blanco1982,40,Entrepreneur,single,male,I genuine person looking meet,fr,0,Entrepreneur
Bled4bathori,47,Musician,single,male,Im long haired guitaristinto kinds thingshit find,en,0,Musician
Blessedd69,52,Education,divorced,male,Sociable individual looking fun loving lady willing intrgrate,en,0,Education
Blkm1188,45,Tech,divorced,male,Just looking someone real earth No drama,de,0,Tech
Blkseaza,44,Business owner,separated,male,Im laid back body athletic height 510 Im curious safe play nice couple Very safe sane great bed fun friendly positive attitude graphic designer full adventure Great hygiene If keep secret lets fun adventuresses I need eat p I host night serious replies Im looking discreet affair women love get p ate I love f eating p grown sexy women blk women plz Latinos plus,en,0,Business owner
Bluejohn30,32,Laborer,single,male,Im single earth person im simple decent relation nature lover love adventure,es,0,Laborer
bobby11224,67,retired,widowed,male,64 yearold male height 6 slim build,da,0,retired
BobbyZ,49,Welder,single,male,Tattooed single dad laughter good conversation whatever adventures come way,de,0,Welder
Boertjie48,51,Transport,widowed,male,Im tall athletic outdoors person Into fitness health,pt,0,Transport
Bogosse,52,Business,separated,male,50 Year old separated 25 years marriage Athletic dynamic individual looking life loving woman spend time see,de,0,Business
Boogie48,39,Healthcare,separated,male,Mexican Male looking make friends I love mature Women Race color important,en,0,Healthcare
