username,age,occupation,status,gender,filtered sentence,y
 000love, 33, student, single,female,cool simple easy going easy please treated resp ect cool simple easy going easy please treated resp ecti cool simple easy going easy please treated resp ect,1
 05johnsmith, 57, contractor, widowed,male,kind honest love caring man hobby music sport believe god,1
 1234, 57, business, widowed,male,As know myriads someone lots interested women choice choose onethe one heart goes forsomeone lean onto give love always wanted haveSo tell yourselfwhat everything need tell yourselfand lets see goes hereBut anywayHeres little info I like go dinner go dancinggo movies workout travel see new things I enjoy simple things like ocean cuddling home watching movie someone special Im extremely romantic passionate affectionate woman,1
 231411, 53, Building Contractor, single,male,I looking woman I think handsome sexy smart A perfect simple woman one treats well makes laugh afraid grab hand steal kiss public shoot knowing stare across room tells admiring afarAt stage life I focused finding I great deal offer always provide warm heart welcoming smile I optimistic youre perhaps ifwhen read far profile may resonate Be smart contact directly henshawmark ID figure network ddd first alphabet following word capital Yoke Apple Hot Orange Orange Let see solve writing Had sneak lol,1
 3234714190Txtme, 33, self employed, single,female,Just note I used able name search people using Meet Me feature I longer please send message instead least hit Favorite I find I really good sense humor quickthinking wit Very kindhearted sometimes maybe logical I love travel game nights bar b ques friends family I drink socially good group family friends get together laugh lot I love active nature ride bikes exploring new places I love old school rock older country wherever I I know song playing I may accidentally start singing loud front people hopefully youll join I cry every time I hear The National Anthem Im simple girl try stressfree possible Ive never selfaware selfconfident life Very happy excited future many ways Work love possibilities endless I love love great smile someone A good kisser must,1
 aalinah, 34, self employed, single,female,get yahoo messenger interested knowing onshyhannah26yahoocom,1
 abash, 57, Telecommunications, single,male,honest god fearing single year,1
 abbtrue22,32, nurse, single,female,I sure day come I meet special man give heart honest faithful determined selfconfident I looking reliable easygoing gentle kind caring energetic man He become life partner Im adventurous cooperative happy positive person Im honest caring patient romantic I live simple life living fullest I spend quality time family well Im kind sensitive woman believes wonderful things happen Im loyal person whos looking somebody I enjoy good things life Im looking gentleman whos understanding caring loving romantic Someone knows handle commits sincere serious real life relationship A lifetime partner good bad times thick thin sickness health A man make happy time love give full trust love,1
 abigail12, 29, nurse, divorced,female,Im kind active responsive sociable cheerful devoted lady,1
 abim123,52, legal, divorced,male,In words I say I serious goals life like true woman I like dream make come true I serious profession I going stop Ive achieved family always first place But impossible serious time necessary I believe I like fun love sportlisten good music learn enjoy simple moments life I active open person sense humor I strong enough live alone much better share life someone nice,1
 abiz21, 51, Engineer, divorced,male,Im ready explore next chapter life hopefully find someone finish others book My ultimate goal find perfect someone share lies ahead Im considered others smart ambitious generous charitable modestly confident charming polished funny My close friends would say I brand I would represent honesty integrity commitment If I asked I perceived strengths would include great communicator two ears one mouth great planner yet spontaneous I hard smart worker I accomplished every childhood goal I deep appreciation love yet I modern beliefs individualism shared roles equality relationship,1
 AbottDavid, 57, manager, divorced,male,I work Manager Independent men deals cable wires telecommunication also industrial building I believe man never rate self good rated people around So consider self rated people around,1
 abtkk,30, self employed, single,female,I believe open communication standing truth honest integrity Honoring respecting high list I treat people way I like treated I believe comes around goes around I compassionate person I looking man truly love one I call TRUE LOVE respect eachother always,1
 abyvivi, 28, student, single,female,IAM A CHRISTIAN HERE FOR LOVE SERIOUSLOVE REALL LOVE,1
 activecarlina, 37, self employed, single,female,Im lover art nature enjoy camping love outside whenever weather permits Im fun lovingcaring fun withlove crack jokesa lady good sense humor love keep self occupied work iam alone,1
 activegrg3, 60, sales, single,male,I active attractive guy enjoys go I love keep moving I eat healthy food go gym every day I believe work hard pays I hardworking determined person believes true love I think parties work hard order relationship successful I looking person also enjoys life also active like I see baby man like man sense humor With stable life position course great family values He superman goaloriented selfconfident Well course hero I want fall love head heels make beloved happiest person world,1
 actlikebetty, 32, nursing, single,female,Im kind heatedgentleloyal woman trustworthyI good friendnot selfish Thoughtfuleasy goingtry hurryhave slowed smell roseslikes laughenjoys seating closeIm worth getting know,1
 adam, 53, contractor, divorced,male,Im Originally ItalyPadovaand live virginia va one daughter name michelle lives 52 yrs oldIm SubContractor We build houses renovate damaged abandoned properties world wide would like find nice looking woman traditional values romantic fine culture Not knowledge good sense life Am interested woman always understand meLove Cherish understand ideas share forever Love trust,1
 Adam017, 44, finance, single,male,My name Mr Adam Mason family fouri one brother two sistersam originally Finlandam presently working living Londonam caringlovelyhonestrespectfulhard workingopen minded fear Godam Accountant profession,1
 Adams505, 50, Structural Engineer, widowed,male,Am God fearing man family oriented shy fun loving one woman man wants settle family Every woman needs Godly man every women also needs lovely home man call I love going family beach spending lovely time togetherAm kind man loves happy,1
 adamsbenjamin, 50, engineer, divorced,male,I Benjamin sincere honest personI Caring kind social smart intelligent passionate friendly romantic I believe truth honest love,1
 adamsgeorge273, 42, military, single,male,know im caring loving nice man one woman man,1
